year_month,average_exhaustion,average_sA,number_extract_points,average_pB,Predicted_pB,Error,datetime
201802,67.98,0.198,149.0,1.5668214285714284,1.8391659946569312,0.27234456608550284,2018-02-01
201803,59.62,0.198,140.0,1.6614687499999998,1.6426377696490944,-0.01883098035090547,2018-03-01
201804,68.44,0.201,129.0,1.6488000000000005,1.7206543789072335,0.07185437890723301,2018-04-01
201805,68.37,0.19899999999999998,124.0,1.7389411764705882,1.7010740635925585,-0.037867112878029685,2018-05-01
201806,68.86,0.19899999999999998,123.0,1.7540714285714285,1.7025565667954696,-0.051514861775958876,2018-06-01
201807,64.13,0.198,146.0,1.8843690476428567,1.7509975773831432,-0.13337147025971352,2018-07-01
201808,68.11,0.196,151.0,1.9031547619285718,1.8634324025662015,-0.03972235936237034,2018-08-01
201809,69.71,0.19399999999999998,169.0,1.9103750000833333,1.9982708507512432,0.08789585066790995,2018-09-01
201810,72.38,0.192,145.0,1.90571875,1.9382589080455388,0.03254015804553889,2018-10-01
201811,69.82,0.19399999999999998,138.0,2.094875,1.8333966166970883,-0.26147838330291173,2018-11-01
201812,77.4,0.187,146.0,2.121230769230769,2.0835282681874006,-0.037702501043368475,2018-12-01
201901,83.5,0.19,134.0,2.116619047642857,2.0864786439107554,-0.030140403732101362,2019-01-01
201902,78.77,0.17765,136.0,2.2298690477142857,2.1320391542304464,-0.0978298934838393,2019-02-01
201903,88.15,0.1805,134.0,2.2170208333125,2.2837399191477816,0.06671908583528152,2019-03-01
201904,83.98,0.17195,140.0,2.3822812500625004,2.331040908062025,-0.05124034200047545,2019-04-01
201905,85.3,0.1672,130.0,2.412388888833333,2.367596142050755,-0.04479274678257816,2019-05-01
201906,85.1,0.16625,107.0,2.5523555554666677,2.2641617650964414,-0.2881937903702263,2019-06-01
201907,85.71,0.156,125.0,2.775549019705882,2.4788430421845815,-0.29670597752130057,2019-07-01
201908,82.51,0.152,124.0,2.9775595239285715,2.410580084049914,-0.5669794398786574,2019-08-01
201909,86.14,0.15,117.0,3.0307619047142853,2.529948828198587,-0.5008130765156982,2019-09-01
201910,85.23,0.149,122.0,3.0517745098235287,2.521999105915232,-0.5297754039082969,2019-10-01
201911,90.6,0.156,106.0,2.651545454545454,2.5517589265073326,-0.0997865280381216,2019-11-01
201912,98.23,0.138,95.0,2.8648888888888893,2.9161810888802364,0.051292199991347154,2019-12-01
202001,95.3,0.14,114.0,2.9757222221999995,2.8713127325004795,-0.10440948969952002,2020-01-01
202002,99.56,0.147,122.0,2.8017820513846154,2.882223926330033,0.08044187494541744,2020-02-01
202003,95.02,0.14800000000000002,146.0,2.3765624999999995,2.78862252140626,0.41206002140626063,2020-03-01
