region,year_month,zone_total_extracted,zone_reserves,zone_percent_extracted_total,ep_sA_reserves,zone_exhaustion,zone_avg_sA
rV,201201,463016782.0,1098091586.0,2300.0,232589958.3718064,42.16558872713191,0.21181289551544422
rV,201202,399070198.0,983732599.0,2100.0,208706527.3051507,40.56693845519295,0.21215778303708596
rV,201203,395976551.0,840355588.0,2000.0,179894660.59072453,47.12011875144454,0.2140696904495678
rV,201204,446881432.0,942725550.0,2100.0,202212812.5626796,47.40313148402523,0.2144980716420379
rV,201205,508584554.0,1096732244.0,2300.0,233918357.99138385,46.372718298596865,0.21328666068778757
rV,201206,489507295.0,1025684860.0,2200.0,219044291.43823865,47.724921570939436,0.21355905695852687
rV,201207,559818468.0,1155106411.0,2300.0,244958392.4987849,48.46466634319459,0.2120656505461858
rV,201208,467261862.0,993920759.0,2200.0,213195103.43308032,47.01198337683578,0.21449909512663706
rV,201209,475698632.0,972768761.0,2100.0,207751777.46925187,48.901511959634156,0.21356748468740339
rV,201210,499078150.0,1044665922.0,2200.0,221697846.64686167,47.77394758359888,0.2122188940770882
rV,201211,435366527.0,861503325.0,2100.0,182197771.46845382,50.535675761901445,0.21148818139321032
rV,201212,394357019.0,813176922.0,2000.0,172537571.60333955,48.4958449177435,0.2121771621100427
rV,201301,517536333.0,1022170067.0,2300.0,213069534.5949217,50.6311375874011,0.20844822351359435
rV,201302,486264780.0,925222339.0,2000.0,194192377.72715008,52.55653257632812,0.20988725578874085
rV,201303,448136515.0,862234810.0,1900.0,179318053.72888482,51.97383703402093,0.20796893334529698
rV,201304,503797546.0,957057737.0,2100.0,197606876.17398942,52.640245883096604,0.20647330723578844
rV,201305,531756315.0,970549666.0,2200.0,201013849.0244441,54.78919148893922,0.20711340806792272
rV,201306,525794504.0,955850182.0,2200.0,196087743.8584077,55.00804560185772,0.20514485172573593
rV,201307,528514084.0,949852952.0,2189.722157366332,194742415.13258672,55.641674101993,0.2050237510159222
rV,201308,464907165.0,814397958.0,1877.0030974747367,166545742.5279529,57.08599345481168,0.20450167008885464
rV,201309,464140325.0,796638897.0,1900.0,163200258.18660071,58.26232270955758,0.2048610214755817
rV,201310,531246465.0,910309990.0,2294.2022235431223,186924211.0425595,58.358852570650136,0.2053412717601391
rV,201311,481274878.0,823251408.0,2099.3752260695146,168707285.90931433,58.46025567927119,0.20492802595888707
rV,201312,533918380.0,909331130.0,2200.0,186404338.24892545,58.71550663837935,0.20499060474144928
rV,201401,489371726.0,832054324.0,2082.9526857553838,167485094.29863438,58.81487685171864,0.20129105692699265
rV,201402,434357384.0,755573603.0,2049.412407865442,151407767.92297292,57.48710413854943,0.20038784748674301
rV,201403,459625013.0,770310705.0,2078.0884492528367,154311501.7039089,59.66748352536526,0.2003237144470281
rV,201404,497500991.0,806022717.0,2374.429960305718,159065752.29063296,61.722949056781985,0.19734648780455274
rV,201405,541797318.0,862330439.0,2355.512035162223,171294414.02983224,62.82943214068778,0.19864127054180472
rV,201406,491179074.0,761600165.0,2161.874432539018,152880508.34672517,64.4930367104109,0.2007359181004447
rV,201407,487503604.0,752804450.0,2231.560780347735,149487407.00555605,64.75833186161427,0.1985740214547829
rV,201408,425633610.0,649485178.0,2027.7400195040682,128898319.30690491,65.53399899142886,0.19846229548121405
rV,201409,404865457.0,618900093.0,2253.7979826280343,121571484.61906704,65.41693264861085,0.19643151777498125
rV,201410,418605776.0,622458902.0,2188.3916506203213,121818010.46796745,67.25034771853902,0.1957045036653158
rV,201411,381378420.0,548813194.0,1995.5394920037998,105939406.68673767,69.49148164976515,0.19303363666351228
rV,201412,424359232.0,596395289.0,1934.4709794646378,116954018.38812673,71.15402147316425,0.19610151278060603
rV,201501,402890962.0,556049438.0,1859.0506336433964,108957397.82343906,72.45596065146998,0.19594911958788647
rV,201502,367770503.0,502671482.0,1815.0823725191574,98392606.92433235,73.16319229742976,0.1957393853593078
rV,201503,316930653.0,428435574.0,1803.876913696899,80344165.48450534,73.97393499354935,0.18752916508400244
rV,201504,324951054.0,434763910.0,1910.0307940040689,80956700.29090208,74.74195684733813,0.1862084189345479
rV,201505,315492188.0,416354237.0,1572.1382014805345,77152653.11176203,75.77494353684216,0.18530531517507298
rV,201506,273312987.0,353545122.0,1778.2489223306143,64287620.77452241,77.30639457104431,0.18183710302902273
rV,201507,263286158.0,331849363.0,1764.823187555965,60105791.48661399,79.33905782425745,0.18112372114637446
rV,201508,274289838.0,331492696.0,1725.6912296292435,59579983.50791283,82.743855689659,0.17973241711459256
rV,201509,247767271.0,290942365.0,1661.0474822580636,51044451.33492239,85.16025880246076,0.17544523409274682
rV,201510,137029939.0,157018750.0,803.5936288754708,26481270.138057258,87.269793575608,0.1686503690677531
rV,201511,129891814.0,147328541.0,750.843066968194,24692312.771587647,88.16473245329973,0.1676003346261852
rV,201512,175624012.0,195271112.0,994.3019770280694,32942593.303074077,89.93855271331685,0.16870182673550851
rV,201601,65868570.0,71457244.0,355.45839309472467,12353407.207266932,92.17899587619137,0.17287830478414382
rV,201602,93430230.0,99799365.0,598.3806629006594,16893337.009766392,93.61806059587654,0.1692729909630827
rV,201603,100210830.0,105400903.0,1014.5383339606424,17785806.204957973,95.07587425508109,0.1687443437269031
rV,201604,108495573.0,114440740.0,915.5636286337001,19523665.563312646,94.80502572772598,0.17060065815121997
rV,201605,110913555.0,117284113.0,727.6202609249724,20109125.868334867,94.56826859405928,0.1714565200176333
rV,201606,24184550.0,25495251.0,134.20091410478744,4366837.83746284,94.85903864998231,0.17128044110892807
rV,201610,15384655.0,15338895.0,196.77461302466918,2276349.675626758,100.29832657437187,0.14840375891658153
