zone,year_month,datestring
P71,200905,14
P71,200906,25
P71,200907,80
P71,200908,77
P71,200909,95
P71,200910,153
P71,200911,253
P71,200912,206
P71,201001,331
P71,201002,243
P71,201003,395
P71,201004,62
P71,201005,364
P71,201006,374
P71,201007,212
P71,201008,307
P71,201009,250
P71,201010,294
P71,201011,274
P71,201012,257
P71,201101,306
P71,201102,305
P71,201103,413
P71,201104,414
P71,201105,538
P71,201106,555
P71,201107,528
P71,201108,464
P71,201109,547
P71,201110,468
P71,201111,514
P71,201112,550
P71,201201,427
P71,201202,543
P71,201203,476
P71,201204,400
P71,201205,515
P71,201206,516
P71,201207,520
P71,201208,479
P71,201209,485
P71,201210,533
P71,201211,399
P71,201212,459
P71,201301,515
P71,201302,459
P71,201303,491
P71,201304,562
P71,201305,554
P71,201306,534
P71,201307,540
P71,201308,479
P71,201309,435
P71,201310,517
P71,201311,467
P71,201312,495
P71,201401,492
P71,201402,474
P71,201403,483
P71,201404,534
P71,201405,548
P71,201406,501
P71,201407,506
P71,201408,435
P71,201409,393
P71,201410,362
P71,201411,328
P71,201412,381
P71,201501,382
P71,201502,330
P71,201503,292
P71,201504,349
P71,201505,348
P71,201506,310
P71,201507,325
P71,201508,338
P71,201509,285
P71,201510,170
P71,201511,177
P71,201512,208
P71,201601,70
P71,201602,113
P71,201603,88
P71,201604,127
P71,201605,125
P71,201606,37
P71,201803,41
P71,201804,152
P71,201805,153
P71,201806,16
P71,201807,92
P71,201808,166
P71,201809,120
P71,201810,155
P71,201811,128
P71,201812,127
P71,201901,155
P71,201902,183
P71,201903,156
P71,201904,169
P71,201905,168
P71,201906,129
P71,201907,143
P71,201908,28
P71,201910,13
P71,201912,4
P71,202001,32
P71,202002,41
P71,202003,108
P71,202004,63
P73,200705,2
P73,200706,2
P73,200708,3
P73,200710,14
P73,200711,33
P73,200712,33
P73,200801,11
P73,200802,23
P73,200803,63
P73,200804,86
P73,200805,75
P73,200806,55
P73,200807,82
P73,200808,78
P73,200809,188
P73,200810,152
P73,200811,30
P73,200812,143
P73,200901,151
P73,200902,168
P73,200903,134
P73,200904,19
P73,200905,104
P73,200906,138
P73,200907,173
P73,200908,200
P73,200909,194
P73,200910,253
P73,200911,328
P73,200912,353
P73,201001,371
P73,201002,390
P73,201003,294
P73,201004,13
P73,201005,114
P73,201006,67
P73,201011,3
P73,201012,4
P73,201103,204
P73,201104,308
P73,201105,286
P73,201106,412
P73,201107,493
P73,201108,397
P73,201109,432
P73,201110,321
P73,201111,291
P73,201112,457
P73,201201,483
P73,201202,473
P73,201203,441
P73,201204,355
P73,201205,519
P73,201206,391
P73,201207,566
P73,201208,357
P73,201209,442
P73,201210,524
P73,201211,343
P73,201212,412
P73,201301,490
P73,201302,428
P73,201303,454
P73,201304,457
P73,201305,536
P73,201306,469
P73,201307,482
P73,201308,344
P73,201309,390
P73,201310,408
P73,201311,381
P73,201312,532
P73,201401,503
P73,201402,497
P73,201403,463
P73,201404,338
P73,201405,544
P73,201406,492
P73,201407,445
P73,201408,307
P73,201409,402
P73,201410,425
P73,201411,383
P73,201412,421
P73,201501,367
P73,201502,333
P73,201503,252
P73,201504,331
P73,201505,256
P73,201506,240
P73,201507,217
P73,201508,237
P73,201509,172
P73,201510,34
P73,201511,101
P73,201512,116
P73,201601,67
P73,201602,71
P73,201603,40
P73,201604,89
P73,201605,116
P73,201606,28
P73,201612,62
P73,201701,74
P73,201702,90
P73,201803,58
P73,201804,85
P73,201805,97
P73,201806,56
P73,201807,52
P73,201808,72
P73,201809,81
P73,201810,116
P73,201811,32
P73,201812,74
P73,201901,107
P73,201902,59
P73,201903,107
P73,201904,58
P73,201905,61
P73,201910,14
P73,201912,14
P73,202001,12
P73,202002,15
P73,202003,56
P73,202004,35
P75,200408,2
P75,200412,1
P75,200501,13
P75,200502,2
P75,200503,10
P75,200504,48
P75,200505,104
P75,200506,95
P75,200507,86
P75,200508,127
P75,200509,135
P75,200510,130
P75,200511,104
P75,200512,92
P75,200601,135
P75,200602,129
P75,200603,141
P75,200604,163
P75,200605,191
P75,200606,150
P75,200607,157
P75,200608,165
P75,200609,127
P75,200610,188
P75,200611,177
P75,200612,189
P75,200701,144
P75,200702,186
P75,200703,215
P75,200704,225
P75,200705,242
P75,200706,236
P75,200707,162
P75,200708,197
P75,200709,220
P75,200710,235
P75,200711,252
P75,200712,266
P75,200801,181
P75,200802,142
P75,200803,205
P75,200804,245
P75,200805,254
P75,200806,241
P75,200807,261
P75,200808,275
P75,200809,299
P75,200810,316
P75,200811,82
P75,200812,321
P75,200901,344
P75,200902,239
P75,200903,303
P75,200904,286
P75,200905,242
P75,200906,309
P75,200907,341
P75,200908,387
P75,200909,336
P75,200910,329
P75,200911,370
P75,200912,417
P75,201001,465
P75,201002,485
P75,201003,488
P75,201004,67
P75,201005,427
P75,201006,499
P75,201007,466
P75,201008,548
P75,201009,520
P75,201010,457
P75,201011,465
P75,201012,457
P75,201101,476
P75,201102,332
P75,201103,542
P75,201104,502
P75,201105,653
P75,201106,648
P75,201107,734
P75,201108,666
P75,201109,635
P75,201110,559
P75,201111,607
P75,201112,662
P75,201201,615
P75,201202,580
P75,201203,580
P75,201204,567
P75,201205,661
P75,201206,643
P75,201207,627
P75,201208,643
P75,201209,606
P75,201210,634
P75,201211,557
P75,201212,553
P75,201301,564
P75,201302,556
P75,201303,460
P75,201304,567
P75,201305,549
P75,201306,524
P75,201307,566
P75,201308,481
P75,201309,457
P75,201310,616
P75,201311,625
P75,201312,643
P75,201401,573
P75,201402,548
P75,201403,579
P75,201404,588
P75,201405,604
P75,201406,598
P75,201407,517
P75,201408,498
P75,201409,349
P75,201410,376
P75,201411,273
P75,201412,373
P75,201501,398
P75,201502,360
P75,201503,323
P75,201504,324
P75,201505,302
P75,201506,247
P75,201507,254
P75,201508,256
P75,201509,229
P75,201510,100
P75,201511,91
P75,201512,133
P75,201601,63
P75,201602,47
P75,201603,69
P75,201604,118
P75,201605,114
P75,201606,17
P75,201610,53
P75,201611,110
P75,201612,65
P75,201701,60
P75,201702,77
P75,201703,7
P75,201711,19
P75,201712,82
P75,201801,79
P75,201802,30
P75,201803,6
P75,201804,15
P75,201805,5
P75,201806,1
P75,201810,3
P75,201811,5
P75,201812,12
P75,201901,36
P75,201902,10
P75,201903,12
P75,201904,18
P75,201910,14
P75,201911,10
P75,201912,20
P75,202001,18
P75,202002,18
P75,202003,79
P75,202004,50
P77,200501,20
P77,200502,32
P77,200503,18
P77,200504,55
P77,200505,190
P77,200506,201
P77,200507,176
P77,200508,205
P77,200509,184
P77,200510,239
P77,200511,194
P77,200512,223
P77,200601,238
P77,200602,257
P77,200603,285
P77,200604,357
P77,200605,344
P77,200606,250
P77,200607,318
P77,200608,397
P77,200609,267
P77,200610,330
P77,200611,323
P77,200612,262
P77,200701,340
P77,200702,390
P77,200703,544
P77,200704,485
P77,200705,502
P77,200706,417
P77,200707,347
P77,200708,383
P77,200709,458
P77,200710,501
P77,200711,488
P77,200712,368
P77,200801,350
P77,200802,291
P77,200803,409
P77,200804,370
P77,200805,385
