region_zone,year_month,zone_total_extracted,zone_reserves,zone_percent_extracted_total,ep_sA_reserves,zone_exhaustion,zone_avg_sA
rVP67,201503,47341308.0,63428152.0,241.7830910452899,12025048.730477696,74.63769084743316,0.1895853552611417
rVP67,201504,55971975.0,72818041.0,274.24382538010406,13791908.42441634,76.86553254021212,0.18940235462275537
rVP67,201505,53342107.0,66508488.0,198.95010809333903,12770246.973408274,80.20345763987298,0.19200928118239996
rVP67,201506,56558837.0,69049693.0,306.32986472147866,13188730.916167874,81.91033810968574,0.19100346928650175
rVP67,201507,50342893.0,60316525.0,290.4476451605376,11348814.828267977,83.46451159114355,0.18815432136164967
rVP67,201508,53642439.0,62000914.0,232.16879615922943,11814501.522156905,86.5187874488431,0.19055366703395543
rVP67,201509,61386749.0,69376502.0,318.328395333587,13011681.265005654,88.48348825658579,0.18755170540315874
rVP67,201510,40355481.0,44493962.0,190.1509259304416,8332400.930704687,90.69878065702488,0.18727037458935858
rVP67,201511,31144753.0,34012410.0,121.83030913157901,6301724.688346027,91.56879209676704,0.18527721759046265
rVP67,201512,46613243.0,49567568.0,175.25536027142067,9333431.242898496,94.03980239659933,0.18829713902643955
rVP67,201601,20375578.0,21180509.0,71.38730123001841,4032330.3414442893,96.19966167951866,0.19037929359697112
rVP67,201602,30822359.0,32457868.0,111.7397685965102,6054930.365756225,94.9611323824473,0.18654738400427978
rVP67,201603,40999624.0,42747508.0,214.0836245786212,7992074.668923578,95.91114410692666,0.18696001340998822
rVP67,201604,36734913.0,37789406.0,191.2860620603276,6981373.966466867,97.20955391571913,0.18474421022830756
rVP67,201605,40104597.0,41040251.0,199.33267801305146,7523152.9592275545,97.72015526903088,0.1833115728075726
rVP67,201606,7376706.0,7510711.0,31.216216582382334,1374042.4567379958,98.21581472113625,0.18294439191416043
rVP67,201803,11805559.0,11775929.0,50.46359905862571,2205021.728300736,100.25161496812693,0.18724821865864985
rVP67,201804,25305967.0,25454405.0,110.34273806367118,4689141.914741331,99.4168474965335,0.18421730599247285
rVP67,201805,29262620.0,29174279.0,141.16196598823757,5371198.246848829,100.30280439835377,0.18410731750556128
rVP67,201807,19787538.0,19757545.0,84.72939957587297,3631491.78170919,100.15180529767235,0.1838027842886953
