datetime,average_exhaustion,average_sA,number_extract_points,pA
2006-06-06,61.39761081048295,0.2469291954166179,119.0,0.2142
2006-06-09,56.935880523004535,0.2534041046640583,122.0,0.2098
2006-06-10,57.21404204941327,0.2420558929251267,123.0,0.2078
2006-06-11,53.23595521886092,0.2482026131785481,137.0,0.2076
2006-06-12,51.365175147837256,0.24942347313876134,104.0,0.2076
2006-06-13,65.39017562834782,0.2278933728003943,123.0,0.2108
2006-06-14,60.29804576344454,0.238788257338232,131.0,0.205
2006-06-15,56.643167599521945,0.2394430269951345,130.0,0.1994
2006-06-16,56.54089651277716,0.2368670881966623,138.0,0.1994
2006-06-17,51.17981381395101,0.24051620826946285,133.0,0.2014
2006-06-18,44.69428459945609,0.24548727910696966,112.0,0.2014
2006-06-19,47.454431538315795,0.25364779298332724,125.0,0.2108
2006-06-20,52.54192844933548,0.2464766627808681,154.0,0.2206
2006-06-22,53.746868196551105,0.2404701967604228,102.0,0.2238
2006-06-23,57.997016212669784,0.24530413496167786,141.0,0.2238
2006-06-24,54.2019686044242,0.2401936462562445,150.0,0.2232
2006-06-25,55.19351045660793,0.2337199378904795,117.0,0.221
2006-06-26,55.997428927289505,0.2551689625320374,107.0,0.2134
2006-06-27,52.64331175848196,0.243254863184386,98.0,0.2156
2006-06-28,52.22379628426047,0.2411088132257497,132.0,0.2214
2006-06-29,52.20157630753589,0.2409170285303795,151.0,0.2284
2006-06-30,51.23394664286127,0.24350995822583044,157.0,0.2354
2006-07-01,56.18952394403585,0.2461531856554857,136.0,0.2412
2006-07-02,53.798475107373434,0.24466394585905174,148.0,0.2406
2006-07-08,56.54448895594,0.2463778792119087,137.0,0.2298
2006-07-09,51.23665075170629,0.2429138664820293,145.0,0.2232
2006-07-10,60.03401545328646,0.2372311535859875,154.0,0.2208
2006-07-11,54.390767149731616,0.24395484768180045,133.0,0.219
2006-07-12,55.626500121068446,0.2451716880129501,135.0,0.2178
2006-07-13,47.241863059143526,0.2464742672103462,131.0,0.2146
2006-07-14,56.1364119654494,0.24807058198759066,120.0,0.2136
2006-07-15,55.522846808274146,0.24101892540209774,144.0,0.2174
2006-07-16,52.75821835912575,0.239797989876161,133.0,0.2264
2006-07-17,54.895503801181796,0.2484119917752389,130.0,0.2286
2006-07-18,52.932193502851064,0.2392339854251536,109.0,0.238
2006-07-20,55.7674654749362,0.22077307857013811,36.0,0.2432
2006-07-21,55.553067754720935,0.2309311630889191,122.0,0.2422
2006-07-22,52.98561148457946,0.24746819189642086,127.0,0.2312
2006-07-23,56.08382317976539,0.2430957464121998,146.0,0.2308
2006-07-24,57.79420344195885,0.2468744731080733,106.0,0.224
2006-07-25,56.191241252334564,0.2440778925423288,117.0,0.2222
2006-07-26,53.536633595825265,0.2377686422023421,141.0,0.2188
2006-07-27,59.44414667047492,0.2269018630963053,102.0,0.2222
2006-07-28,57.099514083882205,0.2405557122804551,137.0,0.2182
2006-07-29,55.55030018216082,0.23347803373240786,137.0,0.2174
2006-07-30,55.24046168454157,0.2369776523938777,131.0,0.2172
2006-07-31,63.7250740342285,0.2356506315335048,122.0,0.2194
2006-08-01,54.943617826472796,0.23100191517007215,94.0,0.2182
2006-08-03,54.424513818485934,0.2453353037663809,73.0,0.2174
2006-08-04,56.088642320850575,0.247026512621806,137.0,0.2152
2006-08-05,53.47992883347868,0.2407660517322905,147.0,0.2138
2006-08-06,55.53715329409087,0.2477634215757746,140.0,0.2208
2006-08-07,58.08738306876372,0.24113264589678696,146.0,0.226
2006-08-08,61.22403907968639,0.2416458568504335,134.0,0.2326
2006-08-09,59.94221745336716,0.24142381292183515,139.0,0.2362
2006-08-10,60.879186578662974,0.2436348392478362,141.0,0.2354
2006-08-11,68.26622931529036,0.2385530706779641,116.0,0.2276
2006-08-12,63.090794723798574,0.2385346518734719,133.0,0.21600000000000005
2006-08-13,62.3600025037186,0.2488792333892219,149.0,0.2096
2006-08-14,58.230288724534375,0.2514357011834954,135.0,0.209
2006-08-15,61.96663869909938,0.23843325206960894,129.0,0.2116
2006-08-17,48.47439287315599,0.2413328646248376,73.0,0.2034
2006-08-18,54.10752763154727,0.2466772116573232,138.0,0.2028
2006-08-19,55.14279142490396,0.2312211824144985,125.0,0.2044
2006-08-20,64.4001420026961,0.2318560164647997,119.0,0.1998
2006-08-21,64.45681603717654,0.2369754325730243,114.0,0.1932
2006-08-22,55.206601962869165,0.2412301620255737,108.0,0.1956
2006-08-23,53.09836897281965,0.23656940126997855,124.0,0.2006
2006-08-24,56.17760613163792,0.22785644544259365,106.0,0.1984
2006-08-25,56.76870736582098,0.24291815173086045,127.0,0.2062
2006-08-26,55.66703234047996,0.23047554675421103,135.0,0.214
2006-08-27,50.82455321423935,0.2344874539319156,124.0,0.2218
2006-08-28,46.216770639118245,0.2431865523548161,95.0,0.2302
2006-08-29,44.06650203471096,0.24688471327062705,109.0,0.2454
2006-08-31,68.98536036751233,0.236913181686761,53.0,0.2526
2006-09-01,51.62180097697751,0.23420402720707084,148.0,0.248
2006-09-02,58.02529953908028,0.23135173214148014,147.0,0.2422
2006-09-03,54.092690671763535,0.24085523776679954,140.0,0.2386
2006-09-04,49.17235845468743,0.24380616430888585,119.0,0.2272
2006-09-05,58.89857615332296,0.2391284278585989,136.0,0.2142
2006-09-06,54.74670782883047,0.23920073227368635,125.0,0.2116
2006-09-07,56.469804615712974,0.24588438765832585,119.0,0.2158
2006-09-08,54.325336111031454,0.24687580558366815,138.0,0.2144
2006-09-09,56.797749644286405,0.2383063766769427,74.0,0.214
2006-09-10,59.134015463153276,0.2428585310903481,63.0,0.2136
2006-09-11,56.64255345393313,0.2336920049616648,148.0,0.2168
2006-09-12,57.3308435668514,0.22882853678143034,147.0,0.2132
2006-09-14,43.535468213093175,0.2538920288331776,36.0,0.2088
2006-09-15,62.31225723820477,0.22737234666405126,78.0,0.2056
2006-09-16,55.45144414118439,0.2453459464280361,136.0,0.2054
2006-09-17,60.84970650049946,0.22957133700782306,122.0,0.2002
2006-09-18,64.30147308769476,0.24282084129639206,132.0,0.1958
2006-09-19,56.34477649594971,0.24124023561213476,142.0,0.1954
2006-09-20,60.53785420699215,0.22803287895193386,132.0,0.1938
2006-09-21,53.86906481252871,0.23854743857020055,48.0,0.1966
2006-10-02,60.16744856335842,0.2405094402546132,137.0,0.1982
2006-10-03,53.94299428866945,0.24595530284314754,139.0,0.202
2006-10-04,57.29151607332515,0.24031152865954555,149.0,0.2024
2006-10-05,57.856662852757644,0.23915732823798186,128.0,0.205
2006-10-06,57.44443210817561,0.24422494498795716,115.0,0.1996
2006-10-07,59.30020428582503,0.2381790201345049,123.0,0.1984
2006-10-08,64.81148986299695,0.23854736844451685,128.0,0.1988
2006-10-09,60.780909702476045,0.24087558001447504,120.0,0.202
2006-10-10,53.340040788155854,0.2510712437525636,129.0,0.199
2006-10-11,65.86256111255496,0.2386020923647943,116.0,0.202
2006-10-12,64.39961788964163,0.2243875986570787,71.0,0.208
2006-10-13,56.45785264187696,0.2384237783808449,130.0,0.2064
2006-10-14,59.121377661047276,0.241127997175354,107.0,0.2046
2006-10-15,58.69886587649814,0.2335376290395381,125.0,0.208
2006-10-16,62.45163470837318,0.2360180481690238,133.0,0.205
2006-10-17,56.90529357374757,0.23831301090429075,142.0,0.2016
2006-10-18,61.094023257510784,0.2438219066069913,112.0,0.206
2006-10-19,91.76981045948358,0.226532839362064,5.0,0.21
2006-10-20,59.304895862688205,0.2414856286493089,137.0,0.2106
2006-10-21,60.34796505287851,0.23936744906286805,140.0,0.2198
2006-10-22,54.24261735416343,0.2422721758388622,129.0,0.2272
2006-10-23,63.461045759097395,0.24211296550746994,106.0,0.2262
2006-10-24,64.72210839535177,0.24117194440052875,92.0,0.2202
2006-10-26,66.93786228279279,0.2329063233541667,16.0,0.2188
2006-10-27,58.637361858013925,0.2298145721272624,96.0,0.208
2006-10-28,59.562286868741204,0.2261000821066753,124.0,0.2002
2006-10-29,63.64262789492221,0.2228869435581926,134.0,0.1948
2006-10-30,66.080760158808,0.22401838551132144,129.0,0.1966
2006-10-31,70.75124889092002,0.22846661346340064,112.0,0.1972
2006-11-01,64.49952543601171,0.2326658722272091,125.0,0.1966
2006-11-02,72.60784905671818,0.22521386388372625,117.0,0.1912
2006-11-03,66.4552107644313,0.23579964283899515,116.0,0.193
2006-11-04,60.002509005813614,0.2348057478003553,140.0,0.193
2006-11-05,61.98211056243123,0.23820428664529225,140.0,0.1968
2006-11-06,61.88417974622647,0.2388837114011064,126.0,0.2072
2006-11-07,69.80897293098676,0.2334146071677836,111.0,0.2188
2006-11-09,73.30016221745592,0.2035158422672398,37.0,0.2196
2006-11-10,51.188774087634684,0.2244904907165464,96.0,0.2168
2006-11-11,60.676680663622115,0.2274244522791921,116.0,0.2102
2006-11-12,63.879204450017255,0.2236040344923238,126.0,0.2036
2006-11-13,62.40007755830933,0.2240789359755474,130.0,0.1964
2006-11-14,68.50561990233906,0.22220795035221594,122.0,0.1932
2006-11-15,64.4209279316552,0.23354409516380756,124.0,0.1904
2006-11-16,62.80719234265057,0.2347835504388324,137.0,0.1906
2006-11-17,60.17480639898755,0.2452705321136851,111.0,0.1932
2006-11-18,64.07075767050935,0.2331033715666985,147.0,0.1962
2006-11-19,65.99338948653897,0.23502888451975096,125.0,0.1972
2006-11-20,67.07146392726996,0.2278652617604509,138.0,0.197
2006-11-21,68.91968784154632,0.22300963036739374,124.0,0.1956
2006-11-24,58.04279858165364,0.22199291884301184,60.0,0.1906
2006-11-25,69.91275417032385,0.22857176697768716,103.0,0.1858
2006-11-26,68.44033196726333,0.2301226900749677,142.0,0.1874
2006-11-27,68.13322838161673,0.23081180323787576,137.0,0.1878
2006-11-28,68.21020528247311,0.2359299705587636,113.0,0.1874
2006-11-29,71.32342562576713,0.23196016558635102,123.0,0.1898
2006-11-30,68.1525351275431,0.2267460764176157,121.0,0.1922
2006-12-01,67.17634146273166,0.2317917834404155,121.0,0.1908
2006-12-02,65.54949292631251,0.23388782848598294,126.0,0.193
2006-12-03,61.48928148524776,0.23353754297220355,102.0,0.1932
2006-12-04,66.04373657297249,0.2320949427967101,124.0,0.1928
2006-12-05,66.13500278103619,0.2280861366545817,103.0,0.1944
2006-12-06,62.08668955535792,0.23352959560250805,125.0,0.192
2006-12-07,65.76648372172464,0.2359737904329441,129.0,0.1922
2006-12-09,70.13966828109443,0.2292714944128493,36.0,0.1956
2006-12-10,67.83542911688713,0.2324185814428538,98.0,0.1972
2006-12-11,65.42891035201951,0.22355809346754765,62.0,0.1922
2006-12-12,67.5084800875959,0.2340261762371325,114.0,0.1902
2006-12-13,57.71054029431493,0.23511477876720385,111.0,0.1854
2006-12-14,61.457565258341205,0.2359300940188529,128.0,0.177
2006-12-15,71.77241321137983,0.21762947962252,83.0,0.17
2006-12-16,60.57492724571604,0.2312021266008399,123.0,0.1668
2006-12-17,67.17303541101437,0.23769858465391056,101.0,0.1692
2006-12-21,50.08059114463559,0.2873347056810176,10.0,0.1696
2006-12-22,74.67918792905907,0.2155951842494042,40.0,0.1708
2006-12-23,59.48326820844665,0.23513884052169806,100.0,0.1726
2006-12-24,63.36298634269599,0.2380012741807019,113.0,0.177
2006-12-26,56.20984969542311,0.23772008350781795,111.0,0.1754
2006-12-27,60.708132576675,0.2285245119414813,116.0,0.1768
2006-12-28,60.708553892323685,0.23186946541890696,131.0,0.1772
2006-12-29,58.34105286974996,0.2337376338998443,125.0,0.1778
2006-12-30,59.56065761216461,0.2434808516229159,134.0,0.179
2006-12-31,64.25227665828373,0.2205519459698253,117.0,0.1834
2007-01-03,56.942730599926094,0.2432972665717095,75.0,0.1842
2007-01-04,62.878791658541964,0.2270283166699747,98.0,0.1868
2007-01-05,55.347725430286246,0.2384096165534026,119.0,0.1858
2007-01-06,46.34939096231484,0.2587647234636985,109.0,0.1894
2007-01-07,53.421318249252614,0.24302506882511404,91.0,0.1962
2007-01-08,53.56352731035943,0.2491085961480329,115.0,0.2022
2007-01-09,53.0330769970827,0.2435916514310564,102.0,0.205
2007-01-10,59.57931926583354,0.24660308580733306,118.0,0.2056
2007-01-11,64.03388873526143,0.2476221545399035,107.0,0.2018
2007-01-12,61.604935507671954,0.25067657948825106,109.0,0.1952
2007-01-13,59.05869339934936,0.2471002843087087,109.0,0.1882
2007-01-14,56.361845509542974,0.249383080614228,125.0,0.1822
2007-01-15,55.191638165629136,0.2525862712209805,72.0,0.181
2007-01-16,50.0677742810829,0.23766744262905914,103.0,0.1812
2007-01-18,60.60675222934757,0.2293923709188745,56.0,0.1774
2007-01-19,50.532874495938174,0.2451185357223989,86.0,0.179
2007-01-20,57.35263376873246,0.2422706755872764,115.0,0.18
2007-01-21,49.572126215874825,0.2475080600892168,120.0,0.183
2007-01-22,58.091742165927066,0.2346804032526374,100.0,0.1826
2007-01-23,53.30208557485289,0.24490887221216645,92.0,0.1844
2007-01-25,41.82083015308295,0.2485638945503746,65.0,0.1814
2007-01-26,57.40443792060343,0.24485622456292405,107.0,0.1806
2007-01-27,53.70067155313135,0.2440118168186019,127.0,0.1788
2007-01-28,55.45024766005442,0.2476578760362764,112.0,0.1744
2007-01-29,53.94605474219717,0.24366248497011,109.0,0.1776
2007-01-30,54.34358171863328,0.2448223397078742,79.0,0.1812
2007-01-31,54.954678457857845,0.2331129141124852,122.0,0.184
2007-02-01,53.12300597040386,0.24752838133011884,126.0,0.1864
2007-02-02,55.88358494822258,0.2429283164467557,128.0,0.1932
2007-02-03,50.71333261912473,0.2482394073101141,118.0,0.1918
2007-02-04,56.80113904801709,0.24292278804110626,120.0,0.191
2007-02-05,56.87552653616762,0.2366360214334872,90.0,0.1908
2007-02-06,52.479442713047476,0.2524805510840308,116.0,0.1894
2007-02-07,54.34647547001311,0.24225769432008196,126.0,0.185
2007-02-08,59.42412089991802,0.24278248430609595,125.0,0.1842
2007-02-09,57.419333603736774,0.2443179437212241,141.0,0.1862
2007-02-10,54.59515993368032,0.2511376611248822,122.0,0.1892
2007-02-11,57.87602329900828,0.2462565441269685,140.0,0.191
2007-02-12,55.196370181571986,0.24707361894397414,132.0,0.1902
2007-02-13,56.7029179709349,0.2418784871099021,69.0,0.189
2007-02-14,57.26291881237577,0.2384881424514389,125.0,0.1894
2007-02-16,66.86164256958449,0.2519004989604158,40.0,0.1854
2007-02-17,53.04009548393106,0.25226003843402306,108.0,0.182
2007-02-18,58.91761595749082,0.2447354939328673,129.0,0.1798
2007-02-19,48.89870740462255,0.24629195078892346,72.0,0.1782
2007-02-20,50.88547343374513,0.24378692917280356,119.0,0.1742
2007-02-21,53.06906801619567,0.24814511109840376,112.0,0.1736
2007-02-22,53.72792223215269,0.2529044462537886,112.0,0.1762
2007-02-23,50.09516810912578,0.2496598224874401,113.0,0.1804
2007-02-24,50.65645273776781,0.24948059658972385,132.0,0.1822
2007-02-25,58.37252345651675,0.23750634293212425,129.0,0.1846
2007-02-26,54.430446148665744,0.2467274517085472,126.0,0.1858
2007-02-27,51.04444719112381,0.2567846648104551,115.0,0.1864
2007-03-01,47.76584253386868,0.2478675222214841,81.0,0.1874
2007-03-02,48.3724896853658,0.23617970762519103,80.0,0.1912
2007-03-03,46.34164289219664,0.2593284437226929,122.0,0.1922
2007-03-04,48.45071865377564,0.26701644566051663,119.0,0.193
2007-03-05,50.823447546190245,0.2510658126588621,105.0,0.1908
2007-03-06,50.093175916674674,0.26134597724965875,121.0,0.1894
2007-03-07,47.96904102843611,0.2562881046026384,127.0,0.185
2007-03-08,51.845985877480715,0.2478550142980572,109.0,0.1842
2007-03-09,49.058653297034866,0.2491902118674192,140.0,0.1862
2007-03-10,50.33541203999582,0.2508951842845332,131.0,0.1892
2007-03-11,54.89604221898496,0.2552224910923813,114.0,0.191
2007-03-12,52.09345889676526,0.2534867587652493,126.0,0.1902
2007-03-13,56.638245638195656,0.2563395198560481,114.0,0.189
2007-03-16,45.001028122022674,0.25620423990799057,120.0,0.1854
2007-03-17,46.10705259481936,0.2580565341892838,123.0,0.182
2007-03-18,51.151207366623105,0.261878900847915,112.0,0.1798
2007-03-19,48.19554433914728,0.2531198424345619,131.0,0.1782
2007-03-20,49.10446107839983,0.2564674431739813,137.0,0.1742
2007-03-21,46.874914212423135,0.2512870611185818,120.0,0.1736
2007-03-22,47.66253318971427,0.26130334547872763,136.0,0.1762
2007-03-23,46.76925023666465,0.26475391124995623,124.0,0.1804
2007-03-24,46.35591163610326,0.2588945145477747,135.0,0.1822
2007-03-25,48.84673368661537,0.2575527573755513,130.0,0.1846
2007-04-01,52.058885224932204,0.2586940801039823,146.0,0.1872
2007-04-02,51.028768026255094,0.25770728612828936,139.0,0.1924
2007-04-03,52.40510607693469,0.2560753709407808,131.0,0.1942
2007-04-04,52.13528270705904,0.2457847354570829,154.0,0.1966
2007-04-05,52.936856169260686,0.25232523306752525,140.0,0.1976
2007-04-06,50.865887641553385,0.25166039267400203,155.0,0.1998
2007-04-07,49.2362438516417,0.2514086748549201,148.0,0.194
2007-04-08,53.42757137564203,0.2507308154567546,152.0,0.1938
2007-04-09,48.103422045593405,0.24713684637123215,136.0,0.1938
2007-04-10,54.27402981008934,0.2499071693276181,140.0,0.1944
2007-04-12,53.911861514097225,0.2565087371927411,56.0,0.1958
2007-04-13,57.999726285130265,0.25034778326591195,94.0,0.1994
2007-04-14,52.50415980812947,0.25539414458072834,135.0,0.2004
2007-04-15,52.902255300556355,0.2571980734394218,136.0,0.2048
2007-04-16,52.37716548462844,0.24969471165186136,126.0,0.2054
2007-04-17,52.953152694831026,0.2571821814543996,131.0,0.2042
2007-04-18,54.121139494045174,0.2554568174112852,129.0,0.2072
2007-04-19,47.329559457658405,0.2519551177681243,156.0,0.2124
2007-04-20,51.12897643719072,0.250443188803598,82.0,0.2088
2007-04-21,44.41509746812788,0.24479777021523602,146.0,0.208
2007-04-22,51.21331632215645,0.26242517271114923,131.0,0.2106
2007-04-23,48.54495811455474,0.2515992896355155,143.0,0.2088
2007-04-25,44.658520768597135,0.21114125105559295,49.0,0.2068
2007-04-26,46.28980727493117,0.2403757340142736,135.0,0.2084
2007-04-27,48.59965364420722,0.2507166597988766,141.0,0.2072
2007-04-28,52.160189913742954,0.25177991140522504,123.0,0.2016
2007-04-29,54.3720541067748,0.25550881931500624,145.0,0.2004
2007-04-30,50.49223603855482,0.2499719565132072,144.0,0.2004
