year_month,average_exhaustion,average_sA,number_extract_points,average_pB,Predicted_pB,Error,datetime,cB,production,cB_per_prod,Predicted_cB,cB_Error
201905,85.3,0.1672,130.0,2.412388888833333,2.367596142050755,-0.04479274678257816,2019-05-01,57000,541382,0.090032444,0.1012461952124996,0.011213751212499595
201906,85.1,0.16625,107.0,2.552355555466668,2.2641617650964414,-0.2881937903702263,2019-06-01,62700,407105,0.11652998699999999,0.10417980737559981,-0.012350179624400173
201907,85.71,0.156,125.0,2.775549019705882,2.478843042184581,-0.29670597752130057,2019-07-01,91200,506351,0.144964594,0.1487619754241772,0.0037973814241772097
201908,82.51,0.152,124.0,2.9775595239285715,2.410580084049914,-0.5669794398786574,2019-08-01,91200,344203,0.194885895,0.1479371955791865,-0.046948699420813506
201909,86.14,0.15,117.0,3.0307619047142853,2.529948828198587,-0.5008130765156982,2019-09-01,88350,362179,0.223256067,0.17714426362894004,-0.04611180337105997
201910,85.23,0.149,122.0,3.0517745098235287,2.521999105915232,-0.5297754039082969,2019-10-01,122550,461360,0.258704406,0.1760024508549985,-0.0827019551450015
201911,90.6,0.156,106.0,2.651545454545454,2.5517589265073326,-0.0997865280381216,2019-11-01,74100,245938,0.266485394,0.1741708372355949,-0.09231455676440509
201912,98.23,0.138,95.0,2.8648888888888893,2.9161810888802364,0.05129219999134715,2019-12-01,51300,189351,0.276529612,0.3081436041673553,0.03161399216735533
202001,95.3,0.14,114.0,2.9757222221999995,2.8713127325004795,-0.10440948969952002,2020-01-01,82650,302346,0.282050065,0.28102146565057023,-0.0010285993494297818
202002,99.56,0.147,122.0,2.8017820513846154,2.882223926330033,0.08044187494541744,2020-02-01,74100,275361,0.27123111899999996,0.2702165500168544,-0.0010145689831455584
202003,95.02,0.14800000000000002,146.0,2.3765624999999995,2.7886225214062597,0.41206002140626063,2020-03-01,79800,381275,0.246667821,0.23953470262128276,-0.007133118378717246
