datestring,total_extracted,number_extract_points,average_exhaustion,average_sA,average_percent_extracted_per_point,date,pA,pB,pD,pC
20140916,44532.0,160.0,66.83010157064165,0.19230311018651758,0.6250000000000006,9/16/2014,0.154,1.992,0.016,
20140917,37292.0,155.0,63.94345912928885,0.19015911217400513,0.6451612903225808,9/17/2014,0.16699999999999998,2.133,0.021,
20140918,21363.0,120.0,69.15147342999421,0.19064223308402378,0.8333333333333325,9/18/2014,0.166,1.814,0.018000000000000002,
20140919,31847.0,125.0,63.93907906734293,0.19168740978534865,0.799999999999999,9/19/2014,0.17,1.5919999999999999,0.017,
20140920,35306.0,136.0,71.62702973481842,0.18493416025060894,0.7352941176470593,9/20/2014,0.165,1.85,0.02,
20140921,37248.0,157.0,61.37804687923301,0.19329313974744955,0.6369426751592355,9/21/2014,0.16899999999999998,1.9780000000000002,0.019,
20140922,36727.0,151.0,68.59662841422086,0.19344392489367496,0.6622516556291391,9/22/2014,0.172,1.929,0.017,
20140923,36713.0,161.0,60.61747190513405,0.19508604709661428,0.621118012422361,9/23/2014,0.159,1.896,0.018000000000000002,
20140924,31821.0,141.0,66.1789100720733,0.1871434034948619,0.7092198581560281,9/24/2014,0.183,1.757,0.017,
20140925,35644.0,149.0,68.67687943530763,0.19204525892761756,0.6711409395973154,9/25/2014,0.185,1.7109999999999999,0.016,
20140929,17489.0,65.0,58.225958994496786,0.1961611852114472,1.5384615384615383,9/29/2014,0.174,1.9709999999999999,0.018000000000000002,
20140930,35913.0,144.0,69.1867361731804,0.19017723535769776,0.6944444444444451,9/30/2014,0.174,1.9669999999999999,0.018000000000000002,
20141001,36501.0,168.0,63.57032763791011,0.18902684255531632,0.5921880049684023,10/1/2014,0.172,2.0540000000000003,0.022000000000000002,
20141002,34428.0,154.0,60.11874456294488,0.19514292429455676,0.6493506493506492,10/2/2014,0.177,1.7930000000000001,0.017,
20141003,36601.0,141.0,61.16964455580904,0.19133884337130133,0.7092198581560277,10/3/2014,0.17,2.032,0.02,
20141004,34615.0,146.0,64.62390602865338,0.19075078562342912,0.6849315068493157,10/4/2014,0.177,1.95,0.019,
20141005,40272.0,135.0,65.64856836272156,0.18976715745498113,0.7407407407407405,10/5/2014,0.16699999999999998,2.017,0.018000000000000002,
20141006,35888.0,142.0,71.89644112666335,0.19117202701666297,0.704225352112676,10/6/2014,0.17,1.77,0.015,
20141007,37213.0,168.0,62.26135581570712,0.1888149233020373,0.5930071276228214,10/7/2014,0.171,1.916,0.02,
20141008,32106.0,156.0,65.48258417136074,0.18268967693683424,0.6410256410256409,10/8/2014,0.168,1.87,0.019,
20141009,33827.0,151.0,63.911894578243746,0.19335420892500074,0.6622516556291389,10/9/2014,0.162,1.7409999999999999,0.016,
20141014,35382.0,143.0,58.7771824994826,0.18526297217319543,0.6993006993007005,10/14/2014,0.16699999999999998,1.886,0.018000000000000002,
20141015,29885.0,157.0,56.76464676781328,0.18818655679216978,0.6331714016277079,10/15/2014,0.175,2.066,0.022000000000000002,
20141016,34241.0,132.0,62.66947136067411,0.1880204924031424,0.7575757575757572,10/16/2014,0.18,1.7919999999999998,0.019,
20141017,34978.0,140.0,65.92854963761577,0.1849630182093316,0.7142857142857149,10/17/2014,0.174,1.781,0.019,
20141018,34252.0,157.0,62.52712360175612,0.18395835645673247,0.6369426751592362,10/18/2014,0.165,2.265,0.022000000000000002,
20141019,34680.0,140.0,65.04144218679002,0.1913067438299308,0.7142857142857135,10/19/2014,0.17800000000000002,2.121,0.02,
20141020,32314.0,145.0,66.24988526849083,0.18765755279761093,0.6896551724137929,10/20/2014,0.16899999999999998,1.969,0.021,
20141021,35390.0,142.0,67.2531418818997,0.1878299177536875,0.704225352112677,10/21/2014,0.17,1.8730000000000002,0.018000000000000002,
20141022,30332.0,141.0,68.68664818406377,0.18685713200956086,0.709219858156029,10/22/2014,0.18,2.036,0.019,
20141023,27967.0,136.0,67.97103957324376,0.1854438393409733,0.7352941176470593,10/23/2014,0.16399999999999998,1.6540000000000001,0.016,
20141028,23803.0,147.0,54.948408084649685,0.18834668598079654,0.6759838443183903,10/28/2014,0.184,1.758,0.013000000000000001,
20141029,35022.0,126.0,55.64877292610258,0.18891449795043114,0.7936507936507945,10/29/2014,0.16699999999999998,1.6440000000000001,0.019,
20141030,34971.0,151.0,62.615194817653304,0.18466322989185327,0.6622516556291393,10/30/2014,0.166,1.942,0.019,
20141031,40838.0,154.0,69.59625093804237,0.18201027754919435,0.6493506493506483,10/31/2014,0.16899999999999998,1.8730000000000002,0.019,
20141101,37487.0,149.0,63.37994783770742,0.1809736769798597,0.6711409395973149,11/1/2014,0.17600000000000002,1.867,0.016,
20141102,35236.0,157.0,66.64563677789579,0.18483231817391305,0.6369426751592359,11/2/2014,0.16899999999999998,1.876,0.017,
20141103,36898.0,137.0,62.97135839932367,0.18689942388270367,0.729927007299271,11/3/2014,0.175,1.7919999999999998,0.019,
20141104,33707.0,141.0,64.0917587514022,0.18644454580048653,0.7092198581560281,11/4/2014,0.17300000000000001,1.9709999999999999,0.017,
20141105,36337.0,154.0,61.7503512776838,0.1866065243501614,0.6456371297940836,11/5/2014,0.17300000000000001,1.625,0.021,
20141106,16768.0,70.0,68.50952837981279,0.18203103151997851,1.4285714285714282,11/6/2014,0.17300000000000001,1.825,0.018000000000000002,
20141112,33787.0,134.0,64.81043563435925,0.18785104147515033,0.7432548963706398,11/12/2014,0.17600000000000002,1.9180000000000001,0.019,
20141113,38711.0,171.0,66.45808457229143,0.18861190487179352,0.5847953216374259,11/13/2014,0.166,1.923,0.017,
20141114,33241.0,152.0,74.31024149206169,0.18673249778330975,0.6578947368421056,11/14/2014,0.175,1.891,0.02,
20141115,38009.0,157.0,67.71770688398459,0.18837949547749216,0.6369426751592365,11/15/2014,0.165,1.859,0.023,
20141116,33615.0,157.0,68.94352065842406,0.1865742489650751,0.6369426751592359,11/16/2014,0.192,1.857,0.023,
20141117,33462.0,150.0,71.50006450177327,0.18137241146685795,0.6666666666666674,11/17/2014,0.18100000000000002,1.712,0.013999999999999999,
20141118,38448.0,163.0,69.9047124508165,0.18438542205290262,0.6134969325153373,11/18/2014,0.166,1.8019999999999998,0.02,
20141119,39793.0,162.0,75.2782653262905,0.18463169368396454,0.617283950617285,11/19/2014,0.162,1.74,0.02,
20141120,32547.0,109.0,69.71012039352156,0.189993525566258,0.9174311926605498,11/20/2014,0.14400000000000002,1.766,0.023,
20141125,33045.0,129.0,79.95993137052372,0.17689165406028143,0.7751937984496114,11/25/2014,0.16899999999999998,1.7919999999999998,0.02,
20141126,32884.0,142.0,80.92738468671618,0.18054843397168835,0.7042253521126769,11/26/2014,0.172,1.9709999999999999,0.02,
20141128,27426.0,172.0,68.78971871975462,0.18430508961196307,0.5794515894036368,11/28/2014,0.174,2.174,0.022000000000000002,
20141129,32516.0,192.0,61.34157853915763,0.18407494943029284,0.5192523889825736,11/29/2014,0.191,2.021,0.025,
