year_month,average_exhaustion,average_sA,number_extract_points,average_pD,Predicted_pD,Error,datetime,cCD,production,cCD_per_prod,Predicted_cCD,cCD_Error
201708,42.73,0.203,136.0,0.011214285714285715,0.013054163732296259,0.0018398780180105454,2017-08-01,15376.8,264867,0.04079214,0.04019816402187283,-0.0005939759781271661
201709,44.1,0.204,138.0,0.010944444333333327,0.013024949433908509,0.0020805051005751817,2017-09-01,15127.2,237866,0.048653912,0.04176282613237239,-0.006891085867627614
201710,45.27,0.204,125.0,0.012619047571428574,0.012868135793966336,0.00024908822253776226,2017-10-01,18906.6,253490,0.06533866299999999,0.04084783932209818,-0.024490823677901813
201711,51.3,0.205,132.0,0.011966666533333337,0.013078453601568877,0.0011117870682355382,2017-11-01,22603.2,276837,0.073727566,0.04632109648840129,-0.027406469511598704
201712,72.41,0.205,123.0,0.012564102461538464,0.012191165952770654,-0.00037293650876780987,2017-12-01,10996.8,262780,0.066203677,0.058947431352829996,-0.0072562456471700065
201801,78.23,0.198,116.0,0.011755555533333331,0.011790860197603257,3.530466426992368e-05,2018-01-01,19831.95,309277,0.062943018,0.06375169629003093,0.0008086782900309231
201802,67.98,0.198,149.0,0.013428571357142855,0.01447932040721781,0.0010507490500749513,2018-02-01,15181.2,273146,0.054436567000000005,0.0547762109210713,0.0003396439210712962
201803,59.62,0.198,140.0,0.013187500000000005,0.014321000751618676,0.0011335007516186724,2018-03-01,11318.4,305643,0.052171290999999995,0.05090406549600652,-0.0012672255039934757
201804,68.44,0.201,129.0,0.0132888888,0.013137713642334951,-0.00015117515766504758,2018-04-01,22540.8,321238,0.054487699,0.05530243815751171,0.0008147391575117069
201805,68.37,0.199,124.0,0.013137254882352942,0.013091169082599257,-4.608579975368468e-05,2018-05-01,26331.0,358068,0.061109965999999995,0.05566282526176142,-0.0054471407382385775
201806,68.86,0.199,123.0,0.013,0.013003842465321795,3.842465321795413e-06,2018-06-01,144.6,317539,0.049171535999999995,0.056233118073984775,0.00706158207398478
201807,64.13,0.198,146.0,0.012535714285714287,0.014483834092629428,0.0019481198069151407,2018-07-01,18835.2,346485,0.04433143,0.054945147529559986,0.010613717529559988
201808,68.11,0.196,151.0,0.014266666666666662,0.01479988762801881,0.0005332209613521464,2018-08-01,22612.2,343582,0.041278039,0.05296290923117835,0.011684870231178347
201809,69.71,0.194,169.0,0.013729166750000002,0.015791503223501542,0.0020623364735015363,2018-09-01,22513.8,316479,0.06354523299999999,0.05463114109338622,-0.008914091906613776
